ukrainian english
сад sade
ніч night
німецька german
окупації occupation
заходи measures
заходи procedures
марк marc
вища taller
вища higher
лікар physician
лікар doctor
найбільша biggest
найбільша largest
пар pairs
пар pari
лев lion
лев lev
лев leo
валерій valery
валерій valeri
валерій valerius
довгий long
драми drama
польоту flying
польоту flight
змі media
богородиці virgin
богородиці theotokos
споруд relocation
слави fame
перетворення transformations
перетворення conversion
перетворення transform
перетворення converting
перетворення transformation
реалізації implementation
реалізації implementing
реалізації realization
боротьбі fighting
газ gas
газ gaz
аеропорт airport
здатність ability
костел church
героїв heroes
жили lived
залізнична railway
альпи alps
альпи alpes
жінка woman
жінка female
дійсно really
португалії portugal
дочка daughter
назад backwards
назад backward
назад back
органи organs
хвороби illness
хвороби disease
процеси processes
наступних upcoming
угоди bargain
принцип mediocrity
принцип principle
анна anne
анна anna
сценарист screenwriter
англійська english
увійшов entered
намагався tried
надзвичайно unusually
надзвичайно extremely
надзвичайно remarkable
надзвичайно ruthlessly
течії currents
течії upstream
мужність manhood
мужність courage
молдови moldovan
молдови moldova
спроби attempts
спроби trying
причиною cause
солдат soldier
відкрита open
повний full
повний complete
кошти accumulated
кошти costs
випуску release
написання writing
ситуації situation
основою base
загін squad
особисто personally
пройшов passed
родин households
родин families
жодного none
надалі still
факт fact
народ folks
народ people
рідко seldom
рідко rarely
герої heroes
збірка collection
прі prix
долина dolina
долина valley
леонід leonidas
леонід leonid
спостереження monitoring
спостереження monitor
спостереження observations
спостереження observing
спостереження observation
введення entering
введення typing
сторінок pages
санта santa
остання last
остання latest
гравців players
найбільший biggest
найбільший oversized
морі mori
зміст content
зміст toc
зміст contents
нам us
нам nam
колишня ex
зберігання possession
зберігання storage
невдовзі shortly
високий high
високий tall
обробки processing
використовували deployed
силами powers
польські polish
вірменії armenia
архів archived
архів archive
банк bank
стіни walls
образ imagery
образ visage
виникає occurs
світло light
світло lights
популярність popularity
попередній prev
попередній previous
естонії estonia
природно naturally
літаки planes
грузії georgia
чехії czechia
виграв won
дорівнює equal
дорівнює equals
будучи being
авторів authors
пише writes
авіації aviation
федір fedor
федір fyodor
телебачення tv
телебачення television
мабуть apparently
найкращі best
японія japan
зміна changing
зміна modify
зміна change
хтось anyone
хтось someone
хтось somebody
залишки remains
залишки leftovers
залишки remnant
збірник compilation
бригада brigade
риб fish
підписав signed
насамперед feds
випадків cases
щорічний budgetary
автори authors
тетяна tatiana
тетяна tatyana
технічні technical
характеру commitment
метал metal
ситуація situation
будівель buildings
музичний musical
стоїть standing
стоїть stands
середнього average
зустрічі meeting
зустрічі meetings
зустрічі appointments
башкортостан bashkortostan
залишився stayed
надає provides
могила tomb
могила grave
могила mogila
малий small
малий maly
малий mali
румуни romanians
маси masses
птахи birds
птахи bird
перехід go
перехід jump
перехід transition
китаї china
міжнародна international
функція function
гармати cannon
тур dist
тур tour
тур thur
військо army
кордону rim
селяни peasant
селяни villagers
селяни farmers
селяни peasants
китай china
тернопіль ternopil
богдана bohdan
воєводство voivodeship
пер pers
пер per
розміри dimensions
розміри sizes
реформи reforms
реформи reform
залежно depending
дивізіон division
зовнішні external
тривала lasted
тривала lasting
дороги roads
дороги roadblocks
срібний silver
стор stor
скульптор sculptor
дель del
ринок market
столиця capital
каталог directory
каталог catalog
каталог catalogue
виконує executes
виконує performs
нарешті finally
власний custom
власний self
власний own
оператор operator
областей oblasts
джордж george
більша bigger
фінляндії finland
династія dynasty
хімічний chemical
півзахисник midfielder
хорватії croatia
трав herbs
списки listings
списки lists
значний significant
безліч numerous
дисертацію thesis
технічного technological
договору treaty
програмування coding
програмування programming
етап milestone
глядачів viewers
сказав said
сказав psst
ссср cccp
командуванням commanders
чоловіки men
падіння downs
падіння fall
охорона guards
охорона guard
єгипту egypt
база base
ярослав jarek
ярослав yaroslav
ярослав jaroslav
викладав taught
міжнародні international
дія action
дія operation
дія activity
девід david
відношення relation
мер mayor
мер mer
взаємодії interaction
взаємодії interact
взаємодії interactions
видно visible
обидві both
взяти taking
взяти take
години hours
години hour
знань knowledge
простору space
дякую thanks
бажання desire
бажання wish
фортепіано piano
інтер inter
цикл cycle
вирішення solution
вирішення solutions
олімпійський olympic
здійснює maintains
огляд recap
огляд overview
огляд review
огляд explore
загальне generic
загальне general
єпархії diocese
національну ethnic
бізнес business
юрія yuriy
французька french
аніме anime
рим rome
каналу channel
футбол soccer
футбол football
видав tipped
західному westerly
джона jonah
околиці suburbs
околиці outskirts
спб spb
здається seems
наталія nataliya
наталія natalya
наталія natalia
почалося started
почалося begun
західний western
тонн tons
співачка singer
успіх success
довгота longitude
проекти projects
найбільші biggest
найбільші largest
навпаки contrary
навпаки opposite
широта latitude
запоріжжя zaporizhia
запоріжжя zaporozhye
українець ukrainian
дерево tree
померла died
померла dead
мешканці inhabitants
мешканці commuters
мешканці residents
намагається tries
намагається gagging
збірки collections
яні jani
грати play
спеціально specially
спеціально specifically
подільський podolsky
подільський podilskyi
очок points
подібні similar
актриса actress
натомість instead
покриття coverage
реакції reactions
заслуги merit
покровитель patron
нідерландів netherlands
підрозділи subdivisions
підрозділи subsections
мета objective
мета meta
мета purpose
мета goal
існували existed
матір mother
статі gender
місцевість surroundings
місцевість terrain
місцевість area
обмеження limitations
обмеження restrictions
обмеження limits
обмеження limit
обмеження constraints
кола circles
кола coke
кола kola
кола cola
чернівці chernivtsi
очевидно apparently
очевидно obvious
очевидно obviously
знищення destroying
знищення annihilation
знищення extermination
знищення destruction
співак singer
мир peace
низку climax
італійський italian
ват watt
ват wat
представлена presented
породи breed
данії denmark
наступ attack
наступ offensive
композиції tracks
оцінки ratings
оцінки rankings
оцінки estimate
запису writing
святий charbel
святий saint
святий holy
святий st
сторін sides
міністерство ministry
національні national
щорічно yearly
могла could
конфлікт conflict
дніпропетровська dnepropetrovsk
металів hardening
визначає determines
визначає defines
зроблено taken
зроблено done
зброя weapons
зброя weapon
зброя guns
розробка development
розробка develop
розробка design
розробка designing
вважав astute
крила wings
андрія andrija
хмельницький khmelnytsky
хмельницький khmelnytskyi
музику music
техніка engineering
техніка technique
техніка appliance
техніка machinery
дохід revenue
дохід income
музиканти musicians
одружений married
спеціальні specials
спеціальні special
іноземних foreign
координати coordinates
майкл michael
блок bloc
блок frame
блок blok
блок block
генрі henry
подальшому established
томас tomas
томас thomas
вод waters
рослина plant
абсолютно utterly
станіслав stanislav
луганської lugansk
норвегії norway
перш perche
являються popping
лондон london
територій territories
інколи sometimes
серіалу hbo
часі deteriorate
клімат climate
командира commander
напрямок direction
групі bend
вибір selection
вибір select
вибір choice
певних certain
найкраща best
запис writing
запис recording
запис record
запис entry
відмовився refused
публікації story
публікації stories
бар bar
гір gere
мережа network
мережа skynet
виявлено detected
очі eyes
доступ access
доступ accessed
зниження lowering
катерина katherine
катерина catherine
катерина ekaterina
катерина kat
виробів textiles
редагування editing
перевагу prefer
перевагу advantage
мар mar
мар maher
зберігається stored
зберігається saving
картина painting
фауна fauna
бойові martial
звідки where
австрія austria
молодий young
квітень april
перекладач translator
батьки fathers
батьки parents
батьки parent
донька daughter
якість quality
листя leaves
медичних medical
східного northeastern
павлович pavlovich
ірина iryna
ірина irina
батальйон battalion
колектив collective
канаді canada
створює creates
створює generates
проводить spends
грає plays
грає playing
цілі goals
швеція sweden
пропонує offers
пропонує trades
точка point
басейн basin
басейн pool
зменшення reducing
зменшення shrink
зменшення decreasing
володіє possesses
володіє owns
точно definitely
доля destiny
доля fate
окремо individually
окремо independently
окремо separately
рівняння equation
рівняння equations
пір pire
пір feathers
георгій georgi
георгій georgy
георгій giorgi
георгій george
окремий distinct
класі grade
класі classroom
стосується concerns
стосується applies
зрештою eventually
пари couples
пари pair
пари pairs
перемога victory
одиниці units
одиниці unit
камінь stone
камінь kamen
камінь scone
зробили did
бої boi
бої fights
стара stara
стара old
клуж cluj
необхідність necessity
говорить talks
говорить speaks
ворота gate
ворота gates
англія england
хвилі wavelengths
хвилі waves
певні certain
сполучення collocation
переміг won
угорщина hungary
культур cultures
кабінету cabinet
прошу asking
прошу please
торонто toronto
чикаго chicago
варіанти alternatives
варіанти variants
варіанти variations
варіанти options
варіанти choices
мій my
мій mine
оформлення creatives
оформлення creative
лист leaf
лист letter
історики historians
довжини lengths
довжини length
вилучити remove
вилучити delete
закони laws
соціальна social
нхл nhl
ефект copycat
ефект effect
ефект negativity
тарас taras
бог god
схема scheme
схема schematic
схема schema
експедиції explorations
зовнішній external
наших nos
продовження continuation
продовження continuous
продовження prolonged
продовження resuming
націй nations
кампанії campaigns
кампанії campaign
колонії colonies
вивчав studied
скорочення shortcuts
скорочення abbreviations
скорочення shortcut
скорочення shortening
скорочення abbreviation
скорочення accelerators
британія britain
викладач teacher
ерік eric
ерік erik
чернігівська chernigov
поширені common
правда true
хотів wanted
справі affair
власник owner
власник ownership
побудовано built
побудовано constructed
організацію organizing
вторгнення invasion
неможливо impossible
неможливо unable
поети poets
підтримка support
олексійович alexeyevich
дослідники explorers
проходять undergo
проходять sweeps
проходять pumped
оголосив declared
вогонь fire
максимальна maximal
максимальна maximum
механізм linkage
механізм mechanism
опір resist
опір resisting
опір resistance
прийшов came
сторінку page
компаній corporations
компаній companies
законів laws
продовжив continued
стадії stages
головне main
захопили captured
захопили hijacked
знайшов found
флот navy
флот fleet
доцент docent
елемент item
елемент element
відкрив discovered
відкрив revealed
вів ditching
вів viv
людмила ludmilla
людмила ludmila
людмила lyudmila
тема topic
тема theme
тема subject
морський battleship
морський maritime
всім everyone
мак papaver
мак mac
мак mak
розповідає talks
розповідає tells
волі willpower
міністри ministers
пошук search
пошук lookup
пошук searching
пошук find
графство county
спостерігається emerged
терміни terms
запаси supplies
дівчина girlfriend
дівчина girl
дніпропетровськ dnipropetrovsk
жаль alas
поховання burial
рейтинг rating
рейтинг ranking
складають presently
відрізняються differ
кафедра cathedral
проживає residing
туди there
третє third
ініціативи initiatives
сфери sphere
лідер leader
берег shore
берег coast
робітників workers
знайдено found
кпу kpu
належав belonged
наказ memo
наказ order
зона zone
ссавців mammals
незалежно regardless
палива fuel
палива fuels
леон leon
степанович stepanovich
швидше hurry
швидше faster
травень may
повна full
дитячий petting
дитячий junior
самостійно itself
полон captured
полон captivity
курси courses
курси rates
темно dark
моя my
цілей targets
рішень decisions
коштів funds
американської american
невідомо unknown
невідомо undefined
вимірювання measuring
вимірювання measure
вимірювання metering
вимірювання measurement
насіння seed
насіння seeds
вказує specifies
замовлення reservations
замовлення orders
паралельно parallel
думаю think
руд ruud
посол ambassador
спортивні sporting
спортивні sports
якби lf
якби if
посада vocation
танків tanks
вересень september
повертається returns
повертається returning
проведено held
десять ten
похід campaign
луганська luhan
луганська luhansk
христа christ
економічний economic
далеко far
комісія commission
конкурс song
конкурс contest
поп pop
вірність fidelity
вірність loyalty
каліфорнія california
показує displays
показує shows
зелений green
працівник worker
установ institutions
знаки plates
знаки signs
стосунки relationship
інтерес interest
тиск pressure
потреби need
потреби needed
потреби needs
релігії religion
релігії religions
партій parties
вчені researchers
вчені scientists
юнеско unesco
юнеско sites
здобула gained
відставку depositions
відставку resign
оригінальна original
мозку brain
розміщення placement
розміщення posting
розміщення placing
розміщення location
інструмент tool
регулювання regulation
франко franco
ліва left
випадок case
інакше differently
інакше otherwise
співпраці cooperation
яків jacob
яків yakov
додаткові additional
додаткові supplemental
додаткові advanced
додаткові extra
потреб liking
потреб needs
судна vessel
ставлення attitude
колгосп kolkhoz
народи peoples
апарат apparatus
апарат vehicle
набір set
набір dialing
набір preset
луї louis
луї louie
автомобіля astray
відпочинку leisure
виборців voters
посібник guide
посібник textbook
сумська sumy
сила strength
сила force
сила power
миколаївської nikolaev
сімей families
глибина depth
вимагає needs
вимагає requires
вимагає demands
виставки exhibition
роди clans
палати chamber
лісах forests
тренера coach
монет coins
німці germans
виконав obeyed
британські british
рук hands
провести spend
помилки errors
помилки mistakes
помилки failures
стають become
телефон phone
телефон telephone
чітко clearly
чилі chile
гаррі garry
гаррі harry
дозволяють permit
навантаження load
навантаження traffic
сестра sister
генріх henryk
генріх heinrich
генріх henry
марна marne
жовтень october
місії missions
вершини vertices
вершини peaks
праця labour
роз roz
літературна literary
випромінювання radiation
мвс of
ракети missiles
ракети rocket
кот kot
назвав callin
червень june
кале kale
випробування trials
випробування ordeal
випробування testing
ведення logging
третя third
вісім eight
принципи principles
принципи concepts
фотографії photos
фотографії photograph
нагадує reminds
нагадує resembles
глава chapter
ліс forest
вчених scholars
вчених scientists
гурти bands
приклади examples
зал halls
зал hall
розташовано placed
розташовано located
плей playoffs
присвячена tutors
присвячена textbook
пройшли traveled
героїзм heroism
героїзм heroics
належали belonged
виявлення detection
виявлення detect
завершив completes
одяг clothing
одяг clothes
зверху top
співробітник colleague
музикант musician
акції shares
харчування food
харчування meals
займають occupy
персонажі characters
якийсь some
присутні present
чорна beluga
чорна nigra
чорна black
розроблений developed
знайдені found
написано written
тривалий progressive
додати add
додати append
осі axes
сфера sphere
под pod
знаю know
сергійович gorbachev
сергійович sergeyevich
кров blood
діяли acted
відсутності absence
герцог duke
січень january
хоче wants
хоче prefers
ссавці mammal
американські american
американські roller
центри malls
послуги services
інструментів instruments
клітини cell
тексти texts
кандидатів candidates
двір household
середовище environment
проф prof
двоє two
технологія technology
планування planning
планування scheduler
планування scheduling
формат format
папа papa
папа pope
вмс navy
вмс marines
захищав defended
захищав defending
річард richard
софія sophie
софія sofia
софія sophia
фрідріх friedrich
селищі villagers
майстрів meister
визначити determine
визначити define
опору resistance
ілля ilya
ілля illya
ілля ilia
польська polish
польська polska
півострова balkans
зростає increases
зростає grows
шлюб marriage
грудень december
моделей models
частка particle
частка fraction
частка shrinking
частка quotient
царства benin
напис inscription
напис caption
напис label
автоматично auto
автоматично automatically
колекції collections
колекції collection
прийнятий accepted
проводяться carried
підтримує supports
досьє dossier
березень march
обличчя faces
обличчя face
складаються consisting
складаються consist
річний annual
сторіччя centuries
зразок sample
зразок specimen
зразок like
концерт concerto
концерт concert
вирішили solved
вирішили decided
зазнав suffered
технічний technical
різко dramatically
різко sharply
золото gold
встановлений installed
характеристика characteristic
шляхи routes
шляхи paths
шляхи ways
липень july
вночі nite
берега shore
козаки cossacks
десь somewhere
співробітників employees
росте growing
росте grows
сербії serbia
пан pang
пан pan
пан mr
аргентини argentina
аргентини argentine
користувачі users
прямо straight
храми churches
храми temples
написати write
написати compose
марки stamps
литви lithuania
зустріч appointment
зустріч meeting
зустріч encounter
зустріч gracious
жити live
коледж college
діаметр diameter
валентина valentina
валентина valentine
покарання punishment
занадто too
становище situation
звичайний generic
звичайний plain
звичайний regular
звичайний normal
бачу see
фірма firm
попередник predecessor
продукти groceries
продукти products
боїв tights
поширений widespread
існувало existed
ріки rivers
племен tribes
дослідник explorer
дослідник investigator
офіцерів officers
ганна hannah
ганна hanna
волосся hair
східних oriental
існував existed
гармат cannons
наша our
клітин differentiation
особистий personal
шкіри skin
інтересів interests
лабораторії labs
лабораторії laboratories
лабораторії lab
різноманітні various
перу peru
фронті scoundrel
найбільшим largest
суверенітету sovereignty
фортеця fortress
філософ philosopher
суспільство society
рис rice
мартін martin
допомогти help
громадського public
нехай let
церков churches
виставка exposition
виставка exhibition
рейн rhine
рейн rhein
виявляється apparently
районної regional
критерії criteria
ставши becoming
загрози menace
загрози threats
перейменування rename
перейменування renaming
видалення removing
видалення removal
видалення deleting
провідних leading
антон anton
європейський european
пристрій device
пристрій drive
зірка star
угоду agreement
половина half
князівство principality
пітер peter
обсяг scope
прес press
ділянка area
кого whom
галина galina
галина halina
інструменти tools
інструменти utilities
гаврило gavrilo
вищу higher
виникають experiencing
уздовж along
вироби products
високі high
викликає causing
викликає invokes
викликає calling
суми sumy
суми amounts
суми sums
підрозділ subsection
серпень august
обертання rotation
обертання rotate
греція greece
мексики mexico
засновників founders
зборів assembly
посилань links
рідше sparse
рона rona
рона rhone
підготовку preparations
жертв victims
екіпаж crew
живлення power
старі old
короткі short
короткі jot
кореї korea
традиційно traditionally
федерація federation
нквс troika
нквс nkvd
порту porto
сказати say
свідчать obtuse
руйнування destruction
підготовка preparing
фракції oligarchy
каталонії catalonia
епізод episode
старих elderly
даного given
областях regions
опадів precipitation
формула formula
останнє latter
останнє last
арбітр referee
змінюється varies
архітектурні edifice
раунд round
ізраїлю israel
надія hope
серця hearts
кислоти acid
кислоти acids
розуміння understanding
перевищує exceeds
перевищує exceed
прикладом precedent
вищі higher
пройшла hosted
таксі taxi
таксі cab
золоті golden
золоті gold
витрати spending
витрати expense
витрати expenses
російську russian
днк specimens
днк dna
критики criticism
ярослава jaroslava
ярослава yaroslav
блокування lock
блокування locking
блокування blocking
класи grades
класи classes
культурний cultural
встановити set
встановити install
листопад november
переходить goes
виданий issued
год pm
носить wears
центрів centers
надто too
мінська minsk
тижнів weeks
австралія australia
припинення kill
припинення killing
повість kuprin
повість novella
французькою french
явища phenomena
забезпечити ensuring
забезпечити ensure
доріг highways
доріг roads
двигуни engines
диригент conductor
вежі towers
підсумок summary
вирішує decides
вирішує tackles
прізвисько nickname
враження impressions
враження experiences
враження impression
охоплює covers
пропозиції suggestions
пропозиції proposals
пропозиції offers
нідерланди netherlands
сцени scene
адреси addresses
адреси locations
носії media
носії storage
полювання hunt
полювання hunting
помічник assistant
помічник helper
мовлення speech
вільгельм wilhelm
вести chores
вести vesta
дизайн design
знає knows
знає adhd
законодавства legislation
додому home
лук bow
картин paintings
скульптури sculptures
пасажирів passengers
змінити edit
змінити modify
змінити change
стенлі stanley
переліку listing
священик priest
змогли could
поведінки behavioral
поведінки behavioural
дослідників researcher
шосе freeway
шосе rodovia
шосе highway
відображення mapping
відображення rendering
відображення mapped
відображення display
губернія governorate
циклу loop
вежа tower
деталі details
частинок particles
єпископа bishop
асоціація association
приймає accepts
приймає takes
характерні distinctive
розробив designed
видобуток spoils
видобуток prowl
сена sena
сюжет story
майстерні studio
драма drama
католицька catholic
зауваження note
зауваження notice
погляд peek
погляд gaze
погляд look
мас mas
віра vera
віра faith
віра vira
віра belief
повернути turn
повернути rotate
повернути revert
стрічки feeds
стрічки tape
стрічки strip
визволення liberation
цікаво curious
цікаво interesting
цікаво interested
цікаво wonder
користування usage
користування using
користування use
татар tatar
мінерали minerals
хід turn
хід move
семінарії seminary
інтереси interests
змісту toc
представляє represents
їхній theirs
заміж married
плани plans
прибуток profit
прибуток income
прибуток yield
прибуток revenue
сержант sarge
сержант sergeant
сержант sgt
акцій equity
розвивається evolves
кут kut
кут angle
вибрані selected
вибрані favorites
митрополит archbishop
надано provided
надано given
надано supplied
лютий february
явище phenomena
явище phenomenon
спеціальний special
азербайджану azerbaijan
медичні medical
подорож voyage
подорож travel
подорож journey
подорож trip
подорож traveling
філіп phillip
філіп philippe
філіп philip
філіп filip
оцінка rating
оцінка estimation
оцінка score
оцінка estimate
оцінка assessment
низки antiquity
поверхню spline
долини valleys
долини vale
погляди sights
погляди beliefs
погляди views
учні students
учні disciples
учні pupils
повне full
пік piz
пік pik
пік peak
необхідні required
необхідні necessary
дали yielded
дали gave
літературний literary
комах insects
юлія yulia
юлія julia
ріо rio
їзду depart
полтава poltava
текстів texts
зброю weapons
зброю guns
вінниця vinnytsia
загони raiding
посольство embassy
ідею idea
франц franz
ядра kernel
активний active
раду radu
співвідношення proportion
співвідношення ratio
співвідношення aspect
зберігаються stored
відень vienna
суддя judge
суддя ref
спроба attempt
швейцарія switzerland
латвії latvia
платформа platform
ударні drums
кореспондент correspondent
кореспондент redactor
журі jury
спеціального reptile
стане becomes
сер sir
навчального academic
відповіді responses
відповіді answers
відповіді replies
хосе jose
хосе jos
концепції concepts
романи novels
потребує needs
потребує requires
описує describes
описує describing
філософія philosophy
передач transfers
джованні giovanni
порівняння comparison
порівняння compare
порівняння comparator
порівняння comparing
порівняння diff
порівняння comparisons
диплом diploma
встановлені installed
почався started
почався began
висока high
релігійні religious
літературні literary
акторка actress
історичної historic
проводити undergoing
фізика physics
атаки attacks
атаки attack
наші our
наші ours
тече drooling
тече flows
відоме known
звільнений fired
спогади memories
югославії yugoslavia
регулярно regularly
баварія bavaria
баварія bayern
залізничний rail
бізнесу entrepreneurial
бізнесу businesses
дорослому grown
шампань champagne
засіб tool
тимчасово temporarily
тимчасово temporary
ніби allegedly
обмін sharing
обмін exchange
платформи platforms
платформи platform
проектування design
скасування cancelling
скасування undoing
скасування canceling
скасування cancellation
довгі long
антоніо antonio
чорні black
пристроїв devices
ані ani
ані nor
фізичні physical
артилерії artillery
публіцист publicist
медіа media
повернутися return
природні natural
мозель moselle
горі gori
підхід approach
хвіст tail
хвіст ponytail
гілки branches
гілки threads
луар loir
луар loire
економічні economic
журналісти journalism
журналісти journalists
щит shield
берлін berlin
лікарня hospital
позбавлення deprivation
тій tille
тій thil
папи pope
приморська littoral
японський japanese
вільний free
німецькою german
живопис painting
виділяють secrete
заліза iron
анатолійович anatolyevich
анатолійович navalny
вільно freely
вільно free
впровадження implementation
впровадження deployment
нагоди occasion
вальтер walther
вальтер walter
справді really
європа europe
приєднання join
приєднання bandwagon
приєднання attaching
приєднання joining
адміністрація administration
дорослих adult
знятий lifted
фігури figures
магазин shop
магазин store
армій armies
розроблена designed
відповідальність liability
відповідальність responsibility
розповсюдження spread
потік flux
потік potok
потік flow
потік stream
дана dana
гай gaius
гай guy
поточний current
лідерів leaders
лідерів leaderboard
розумію understand
колекція foundry
колекція collection
гетьман hetman
давніх ancient
ліквідації eliminating
румунія romania
підтвердження confirmation
підтвердження confirming
підтвердження approval
культурі fiction
танк tank
зрозуміло understood
педагогічний pedagogical
медичний medical
медичний maulana
виникли arising
друзів friends
коней horses
виступ performance
щороку annually
щороку annual
будинках houses
білих whites
нор nort
ібн ibn
вищий taller
вищий higher
структур structures
шаблону stencil
повітряно airborne
виконавців performers
виконавців resources
виконавців artists
четвертий fourth
зліва left
уникнути avoid
літ lit
маршрут route
маршрут itinerary
царство kingdom
едвард edvard
едвард edward
перемог wins
перемог victories
пояснення explaining
пояснення explanation
пояснення explanations
пояснення explain
сприяє contributes
сприяє promotes
громадянство nationality
громадянство citizenship
допомагає helps
журналістів journalists
засуджений convicted
засуджений convict
засуджений condemned
засуджений sentenced
вхід login
вхід logging
вхід entrance
хан khan
хан han
художньої rhythmic
якось sometime
якось somehow
росіяни russians
чарльз charles
випадки instances
випадки cases
випадки incidents
випадки occurrences
персонаж character
утримання detention
вирішено resolved
вирішено solved
розпаду decay
призначено intended
чорно monochrome
проводять spend
читання read
читання reading
пара pair
пара fumes
пара couple
пара vapor
виступали performed
союзників allies
табір camp
почесні honorific
смуги stripes
перейшла descended
офіцер officer
сталося occured
сталося happened
десятки tens
десятки dozens
десятки dozen
житловий residential
сирії syria
колективу collaborative
схожі similar
схожі alike
схожі related
нагорода reward
нагорода award
майбутнє future
почуття feeling
почуття sense
почуття feelings
символів character
символів symbols
символів characters
активність activity
надати provide
надати supply
надати give
надати grant
рейтингу ranking
наслідки aftermath
наслідки consequences
соціальні social
виникло popped
затвердження approval
затвердження approving
дворі courtyard
дворі yard
обліку counting
обліку billing
знаходить finds
маю sparing
маю have
стефан stefan
стефан stephan
плавання swimming
світлана svitlana
світлана svetlana
середні medium
виглядає looks
рідини liquid
рідини fluids
формально technically
підручник handbook
підручник manual
підручник textbook
підручник tutorial
самих themselves
танки tanks
вперед forward
вперед onward
вперед forwards
студенти students
владислав vladislav
перевезення transportation
перевезення freight
широкий wide
широкий expanded
червоні reds
червоні scarlet
червоні red
майна property
релігія religion
класифікація classification
миколаїв mykolaiv
миколаїв nikolaev
вилучено deleted
вилучено removed
галереї galleries
галереї gallery
вбивства murders
громадяни citizens
дипломат diplomat
зйомки filming
зйомки shooting
повноваження responsibilities
кохання love
показано shown
показано displayed
важливі important
базується relied
майстри wizards
йосип joseph
йосип josip
тижні weeks
ґрунту soil
масив array
масив massif
радник adviser
радник counselor
радник advisor
артур arthur
артур artur
звук sound
звук mute
рекорд record
епоху epoch
сягає reaches
втрат losses
революція revolution
новгород novgorod
валентин valentin
професія profession
сталі constants
вдається succeeding
вашингтон washington
волинський volynskyi
досяг achieved
відтоді since
зоряна stellar
виділення allocation
виділення emphasis
виділення allocate
спілкування communication
спілкування communicate
спілкування conversation
спілкування communion
спілкування chat
правильно correctly
відвідав visited
квітки flower
станіслава stanislaus
вулицю curb
художнього artistic
власність property
власність ownership
різниця diff
різниця difference
різниця cares
акт act
функціонування functioning
відповідні appropriate
онлайн online
дозвіл permission
закриття closure
закриття close
закриття closing
руїни ruins
франківськ frankivsk
принц prince
нормандія normandy
параметри options
параметри parameters
параметри settings
альбомів albums
тісно closely
миколая nicholas
випущена licensed
функцію function
православні orthodox
оголошено screening
говорити talk
говорити speak
ситуацію situation
зібрав gathered
кастилія castile
погано badly
погано bad
майя maia
майя maya
економічна economic
сестри sisters
переваги advantages
переваги benefits
плато plateau
озер lakes
пом softener
млин windmill
млин mill
парламент parliament
найкраще best
оксана oksana
січ sich
яйця eggs
яйця balls
селах villages
манчестер manchester
предмети objects
тканини fabrics
сесії altar
сесії session
сесії plenary
міліції militia
росією traffickers
проходження transit
підпорядкування municipalities
наслідок consequence
луцьк lutsk
закінчується ends
закінчується ending
артем artem
артем artyom
природний natural
виконують perform
становлення becoming
луїс luiz
луїс luis
луїс louis
адміністраторів administrators
фінансування funded
фінансування financing
фінансування funding
файлів files
журнали magazines
журнали journals
журнали logs
фінал finale
фінал final
двері door
двері doors
мері meri
мері mary
вузлів knots
вузлів peers
вузлів nodes
книжки books
передав handed
токіо tokyo
пригоди adventures
пригоди adventure
депо depot
кабінет parlor
кабінет cabinet
архітектори builders
подорожі travel
подорожі travels
подорожі journey
сторона side
відмінності differences
вікторія viktoria
вікторія victoria
грн uah
серце heart
записи entries
сукупність aggregates
дон don
спадщина heritage
вбивство murder
вбивство killing
музична musical
ансамбль ensemble
включення enclosing
включення include
включення includes
включення inclusion
листи letters
шар layer
звісно ofcourse
душі shower
душі souls
громадської ngo
збагачення enriching
збагачення enriched
ноги feet
ноги legs
особисте personal
особисте private
приналежність apparatus
побачив saw
пропоную propose
напрямки directions
поділля podolia
відновити reset
відновити restore
відновити recover
відновити revert
відновити resume
автономна autonomous
автономна autonomic
македонії macedonia
кампанія campania
кампанія campaign
практика practice
запитання question
запитання questions
драматург playwright
розпочато started
марко marko
марко marco
намір intention
курсу nema
воротар goalkeeper
краї edges
додаток application
додаток app
додаток appendix
додаток plugin
продаж selling
продаж sale
продаж sales
сонце sun
сонце sunshine
дядько uncle
оточення boxes
оточення neighborhood
оточення entourage
бен ben
реакція reaction
моделювання modelling
моделювання simulation
моделювання modeling
версій versions
лесі lesia
алі ali
редакція edition
самий same
розміщено placed
зали hall
пристрої devices
документ doc
документ document
символи symbols
символи characters
крізь through
індія india
весілля wedding
проживають favoring
складова ingredient
конференція conference
стверджує claims
зазнали suffered
регіонах regions
королева queen
школах schools
монета coin
математичних mathematical
різновид kind
продукт product
формули formulas
формули formulae
британська british
дух spirit
єгипет egypt
помилок faults
готель inn
готель hotel
сучасне modern
сучасне contemporary
новини news
мінськ minsk
космос cosmos
космос kosmos
кулі spheres
кулі balloon
кулі bullets
вчитель teacher
вадим vadim
корисні useful
корисні helpful
свобода freedom
свобода liberty
внутрішні internal
критиків critics
коефіцієнт coefficient
коефіцієнт gini
коефіцієнт ratio
коефіцієнт stripping
коефіцієнт factor
вийти quit
вийти exit
представниками outreach
верхні hautes
верхні upper
конго congo
молода young
диск disk
диск disc
русь rus
арденни ardennes
сона sona
місцевий local
хуан juan
хуан huang
зберегти save
душу soul
молодь youth
рівне rivne
рівне equal
міді copper
японська japanese
особливий special
прага prague
вікна windows
семен semen
семен semyon
потрапляє rushes
квт kw
алгоритм algorithm
ріг rog
ріг rih
ріг horn
позицій positions
дем demian
дем dem
